state,title,url,source,political_leaning
Wisconsin,Elon Musk is paying voters again ahead of the Wisconsin Supreme Court election,https://www.theverge.com/news/633834/elon-musk-paying-voters-petition-wisconsin-supreme-court-race,The Verge,-0.7
Pennsylvania,Elon Musk is paying voters again ahead of the Wisconsin Supreme Court election,https://www.theverge.com/news/633834/elon-musk-paying-voters-petition-wisconsin-supreme-court-race,The Verge,-0.7
Texas,Elon Musk made more promises about Optimus and Cybercabs at Tesla’s surprise all-hands meeting,https://www.theverge.com/news/633907/elon-musk-tesla-employee-meeting-stock-value-drop-cybercab-optimus,The Verge,0.0
Georgia,MAGA’s Tesla Embrace Means EV Politics Will Never Be the Same Again,https://gizmodo.com/magas-tesla-embrace-means-ev-politics-will-never-be-the-same-again-2000576747,Gizmodo.com,0.5
Massachusetts,MAGA’s Tesla Embrace Means EV Politics Will Never Be the Same Again,https://gizmodo.com/magas-tesla-embrace-means-ev-politics-will-never-be-the-same-again-2000576747,Gizmodo.com,0.5
New York,"Musk demoted, markets sink & voters recoil from Trump slump: Ezra Klein x Ari Melber",https://www.yahoo.com/news/musk-demoted-markets-sink-voters-201433044.html,Yahoo Entertainment,-0.5
Mississippi,"Musk demoted, markets sink & voters recoil from Trump slump: Ezra Klein x Ari Melber",https://www.yahoo.com/news/musk-demoted-markets-sink-voters-201433044.html,Yahoo Entertainment,-0.5
New York,Zero-sum politics is destroying America. We can build a way out.,https://www.vox.com/future-perfect/405403/abundance-ezra-klein-building-costs-housing-energy-democrats-polarization,Vox,-0.5
Texas,Elon Musk's surprise Tesla all-hands left some workers feeling comforted and some feeling cynical,https://www.businessinsider.com/elon-musk-surprise-tesla-all-hands-employee-reaction-2025-3,Business Insider,0.0
Georgia,MAGA turns against free speech...,https://www.newstatesman.com/international-politics/2025/03/the-purge-of-american-liberty,New Statesman,-0.5
Massachusetts,MAGA turns against free speech...,https://www.newstatesman.com/international-politics/2025/03/the-purge-of-american-liberty,New Statesman,-0.5
New York,Sesame Street,https://www.npr.org/2025/03/20/1239646567/throughline-sesame-street,NPR,-0.5
New York,New York Times fills poll tracking gap left by FiveThirtyEight shutdown,https://flowingdata.com/2025/03/18/new-york-times-fills-poll-tracking-gap-left-by-fivethirtyeight-shutdown/,Flowingdata.com,0.0
Delaware,"Do Boycotts Work? As Target’s Traffic Declines, Tesla & Others See Shifts With Consumers",https://www.forbes.com/sites/dougmelville/2025/03/17/do-boycotts-work-as-targets-traffic-declines-tesla--others-see-shifts-with-consumers/,Forbes,0.0
Texas,"Tesla 'armageddon,' a 'legion' of Optimus robots, and no mention of DOGE: 5 takeaways from Elon Musk's livestream",https://www.businessinsider.com/5-big-takeaways-elon-musk-tesla-all-hands-meeting-2025-3,Business Insider,0.1
Alaska,"I moved to Canada from the US. It's more expensive, but I've never been happier.",https://www.businessinsider.com/moving-to-canada-from-us-cost-of-living-higher-happier-2025-3,Business Insider,-0.2
Washington,Why St Patrick's week is a long time in politics,https://www.bbc.com/news/articles/cd65zjvq9y4o,BBC News,0.0
Georgia,Britain’s Populists Have a Trump Problem,https://www.theatlantic.com/international/archive/2025/03/trump-populism-britain/682055/,The Atlantic,-0.5
Massachusetts,Britain’s Populists Have a Trump Problem,https://www.theatlantic.com/international/archive/2025/03/trump-populism-britain/682055/,The Atlantic,-0.5
Wisconsin,This Wisconsin man voted for Trump. Now his wife sits in an ICE detention center.,https://www.jsonline.com/story/news/local/2025/03/16/he-voted-for-trump-then-ice-detained-his-wife/82469657007/,Milwaukee Journal Sentinel,-0.5
Colorado,"ATMs in the Amazon: Edge is crossing its tipping point, says SUSE CTO",https://www.theregister.com/2025/03/18/suse_cto_interview/,Theregister.com,0.0
Connecticut,"ATMs in the Amazon: Edge is crossing its tipping point, says SUSE CTO",https://www.theregister.com/2025/03/18/suse_cto_interview/,Theregister.com,0.0
Massachusetts,Rep. Jake Auchincloss: Democrats Are ‘Bereft of Big Ideas’,https://time.com/7269254/rep-jake-auchincloss-interview-democrats/,Time,0.3
Florida,Michelle Obama Told Kylie Kelce Why She Never Did—And Never Will—Run for President,https://www.vanityfair.com/style/story/michelle-obama-kylie-kelce-podcast-white-house-parenting,Vanity Fair,-0.5
Georgia,JD Vance tries to mend the MAGA-Tech divide,https://www.theverge.com/policy/632006/jd-vance-maga-tech-divide-andreesen-horowitz,The Verge,0.5
Massachusetts,JD Vance tries to mend the MAGA-Tech divide,https://www.theverge.com/policy/632006/jd-vance-maga-tech-divide-andreesen-horowitz,The Verge,0.5
Mississippi,From TV to CMS: How Dr. Oz could shape Medicare and Medicaid,https://www.npr.org/sections/shots-health-news/2025/03/20/nx-s1-5333850/dr-oz-medicaid-medicare-cms,NPR,0.5
